fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.005,0.5,0.489,3.726,0.183,7.427,99.0,0.998,3.388,0.355,10.541,6
8.581,0.481,-0.158,0.738,0.181,22.748,-51.098,0.997,3.309,0.518,9.818,6
8.872,0.197,0.8,1.034,0.183,9.786,-26.595,0.998,3.127,0.444,10.108,5
11.652,0.316,-0.106,5.722,0.046,16.444,48.173,0.995,3.108,0.524,12.499,5
8.59,0.608,0.44,0.004,0.082,19.427,68.723,0.995,3.259,0.315,12.365,6
11.633,0.431,0.007,1.067,0.109,11.276,47.107,0.996,3.44,0.639,12.081,5
6.215,0.578,0.606,2.422,0.07,19.664,78.562,0.997,3.517,0.329,9.601,6
5.59,0.509,0.032,4.453,0.113,20.717,102.535,0.997,3.507,0.605,8.999,4
10.45,0.269,0.553,2.367,0.196,-6.063,16.044,0.997,3.401,0.592,10.229,5
5.756,0.664,0.045,3.057,0.057,13.114,43.568,0.997,3.332,0.957,8.568,7
8.909,0.317,0.036,3.17,0.088,16.657,34.047,0.996,3.22,0.672,10.317,6
5.411,0.424,0.209,1.505,0.072,8.107,25.389,0.996,3.326,0.258,11.892,5
7.783,0.548,0.327,1.884,0.087,21.917,91.075,0.994,3.474,0.442,11.305,4
6.455,0.513,0.197,4.43,0.081,28.716,37.259,0.999,3.246,0.561,9.089,8
12.002,0.616,0.373,4.609,0.145,11.096,89.238,0.999,3.26,0.273,9.169,8
9.682,0.351,-0.013,2.05,0.001,20.775,79.05,0.996,3.303,0.486,11.436,5
6.872,0.216,0.511,2.742,0.08,7.736,-42.188,0.996,3.24,0.377,10.118,6
9.41,0.545,0.055,0.936,0.09,-0.399,120.827,0.997,3.198,0.857,8.707,7
7.473,0.686,0.122,1.393,0.039,18.156,32.29,0.995,3.349,0.627,9.557,5
8.463,0.513,0.079,0.148,0.116,-1.373,20.971,0.995,3.432,0.73,9.335,6
9.396,0.755,-0.042,2.922,0.074,15.51,117.917,0.996,3.328,0.589,10.199,6
6.541,0.653,0.026,2.239,0.096,28.631,15.794,0.995,3.239,0.759,11.033,7
7.135,0.194,0.116,3.386,0.021,22.136,92.954,0.997,3.56,0.663,9.062,6
9.343,0.867,0.042,3.589,0.135,13.474,48.725,0.999,3.241,0.489,10.626,4
10.759,0.599,0.147,-0.024,0.008,4.576,38.476,1.001,2.904,0.606,10.656,6
8.27,0.873,0.206,2.203,0.089,7.262,5.506,0.998,3.238,0.926,10.076,5
5.197,0.598,0.187,4.077,0.035,17.99,37.45,1.0,3.49,0.686,9.955,4
8.063,0.757,0.189,5.984,0.145,21.175,29.074,0.996,3.368,0.443,11.216,6
9.193,0.838,-0.262,4.525,-0.002,10.543,58.539,1.0,3.553,0.747,9.448,6
9.371,0.549,0.026,3.719,0.118,36.633,29.588,0.997,3.154,0.479,10.495,6
7.453,0.105,0.059,1.58,0.107,-0.248,53.576,0.997,3.376,0.992,8.712,5
7.452,0.445,0.511,3.205,0.088,41.563,111.753,0.997,3.388,0.743,9.026,6
7.222,0.295,0.293,1.007,0.108,3.648,-3.062,0.994,3.248,0.746,10.732,4
9.622,0.387,1.008,2.956,0.113,14.234,61.131,0.996,2.854,0.388,10.589,6
8.511,0.629,-0.154,1.789,0.105,23.255,93.591,0.999,3.544,0.631,9.563,6
8.593,0.324,0.306,2.939,0.131,36.986,41.937,0.999,2.971,0.586,8.76,7
10.226,0.7,-0.051,4.301,0.146,1.462,40.0,1.001,3.298,0.459,12.832,4
7.797,0.645,0.324,4.201,0.071,-1.247,-8.766,0.997,3.102,0.395,8.635,6
11.533,0.304,0.119,-1.552,0.124,-0.135,104.759,1.0,3.089,0.6,10.878,5
5.345,0.678,0.249,4.065,0.072,24.291,-8.605,0.997,3.309,0.346,10.028,5
8.582,0.353,0.619,3.387,0.061,9.545,11.596,0.997,3.313,0.386,10.648,7
6.674,0.375,0.473,2.25,0.103,9.47,57.725,0.997,3.272,0.985,10.73,6
8.43,0.415,0.456,1.911,0.065,25.698,72.828,0.997,3.409,0.853,9.84,4
9.416,0.613,0.266,3.276,0.095,0.848,51.269,0.998,3.483,0.63,10.546,5
8.697,0.679,-0.093,3.337,-0.047,14.598,17.848,0.995,3.244,0.377,9.435,5
10.7,0.543,0.066,4.212,0.147,13.044,32.895,0.998,3.608,0.666,11.63,6
7.556,0.589,0.477,3.253,0.037,17.243,46.657,0.998,3.106,0.655,10.996,5
6.688,0.616,0.482,3.254,0.101,0.892,64.362,0.999,3.16,0.609,10.563,5
6.833,0.563,0.279,1.502,0.126,13.648,46.429,1.001,3.441,0.773,11.148,5
10.601,0.629,0.204,1.519,0.094,-0.609,37.173,0.993,3.48,0.746,11.593,5
9.457,0.452,0.109,-0.303,0.105,23.361,50.59,0.996,3.245,0.589,12.33,6
4.389,0.413,0.13,4.693,0.016,22.074,54.132,0.999,3.159,0.669,10.795,6
10.402,0.495,0.295,1.324,0.138,19.049,115.751,0.997,3.438,0.412,11.241,6
10.098,0.645,-0.002,2.337,0.053,15.223,100.516,0.991,3.282,0.417,9.633,5
6.455,0.527,0.242,3.457,0.005,22.153,42.1,0.995,3.185,0.609,10.247,7
7.939,0.778,0.305,2.184,0.107,24.483,56.311,0.999,3.309,0.348,12.84,5
9.552,0.223,-0.231,-0.609,0.099,27.738,31.442,0.999,3.11,0.744,11.881,4
7.767,0.395,0.219,4.4,0.11,23.312,-7.479,0.994,3.4,0.522,10.987,6
7.432,0.327,0.259,3.767,0.052,8.186,59.776,0.996,3.449,0.803,11.134,7
11.331,0.375,0.068,3.959,0.124,-2.185,55.038,0.999,3.484,0.754,10.207,5
9.362,0.315,0.177,2.15,0.12,23.482,61.923,0.994,3.503,0.686,10.511,6
7.85,1.129,0.118,3.402,0.13,6.661,36.197,1.001,3.379,0.743,10.026,5
6.655,0.855,0.172,5.531,0.176,23.602,61.316,0.997,3.185,0.482,10.544,6
9.7,0.394,0.158,3.462,0.065,10.934,95.272,0.999,3.02,0.927,10.746,6
6.487,0.691,0.143,4.23,0.049,26.262,53.762,0.998,3.664,0.753,9.465,6
10.08,0.341,0.404,-0.475,0.091,27.091,75.142,1.0,3.219,0.688,11.369,6
11.324,0.898,0.379,3.241,0.034,23.339,68.943,1.002,3.364,0.673,10.086,4
7.414,0.54,0.332,2.772,0.061,-0.713,6.162,0.998,3.374,0.625,10.808,5
8.358,0.465,-0.107,2.993,0.175,21.521,44.497,0.995,3.611,0.569,9.326,6
10.697,0.314,0.299,-0.147,0.109,24.026,87.704,0.994,3.403,0.746,9.852,6
8.423,0.659,0.297,0.094,0.068,12.0,11.484,0.997,3.243,0.524,8.896,5
9.201,0.624,0.502,2.655,0.134,25.641,-15.424,0.999,3.443,1.02,10.39,5
4.729,0.623,0.348,3.833,0.039,36.865,2.973,0.995,3.528,0.469,10.166,5
9.464,0.179,0.152,1.805,0.106,16.135,48.077,0.994,3.416,0.5,10.864,7
8.012,0.57,0.278,5.7,0.167,17.486,17.636,0.996,3.256,0.453,8.414,7
7.228,0.564,-0.271,2.222,0.022,-0.193,4.508,1.001,3.35,0.634,10.42,5
8.221,0.358,0.479,4.237,0.12,12.713,16.374,0.999,3.346,0.778,10.294,6
6.242,0.72,0.581,1.899,0.089,8.336,47.218,0.994,3.136,0.482,9.918,6
4.03,0.387,0.246,3.731,0.043,8.839,-0.064,0.996,3.481,0.767,11.776,6
9.576,0.525,0.213,3.448,0.059,1.832,68.047,0.999,3.042,0.773,10.255,7
8.461,0.252,0.427,2.623,0.019,-7.529,85.749,0.996,3.486,0.836,11.149,5
10.941,0.443,-0.031,3.798,0.078,28.295,36.342,0.996,3.484,0.522,10.588,6
7.276,0.55,-0.032,2.222,0.132,10.206,49.883,0.998,3.173,1.075,10.757,5
8.876,0.701,0.153,3.326,0.104,5.238,24.696,0.995,3.231,0.727,12.497,5
12.706,0.178,0.474,3.403,0.044,13.133,39.38,0.996,3.309,0.803,11.463,6
13.071,0.355,0.4,1.619,0.008,13.881,24.218,0.999,3.353,0.712,10.228,7
12.158,0.323,0.24,2.385,0.073,5.626,69.003,0.997,3.159,0.568,12.478,5
8.465,0.297,0.467,3.284,0.046,-1.801,51.841,0.995,3.382,0.647,10.238,5
9.095,0.511,0.376,1.289,0.03,8.004,-30.306,0.998,3.305,0.602,10.975,6
8.255,0.385,0.26,2.05,-0.006,14.263,74.021,0.996,2.967,0.501,11.17,6
7.849,0.809,0.612,2.088,0.052,31.327,53.564,0.994,3.562,0.737,10.904,6
8.647,0.483,0.356,0.989,0.098,31.589,83.735,0.998,3.438,0.438,11.377,7
9.829,0.444,0.737,-0.348,-0.03,13.769,13.526,1.0,3.219,0.914,8.848,6
10.512,0.351,0.129,0.848,0.06,25.835,79.825,0.994,3.669,0.773,10.044,5
8.387,0.874,0.195,2.337,0.129,29.684,16.374,0.995,3.561,0.986,9.023,6
9.364,0.251,0.46,1.413,0.099,20.791,32.182,0.995,3.492,0.662,9.665,5
5.1,0.635,-0.045,2.511,0.019,18.842,38.916,0.996,3.469,0.359,12.422,6
8.239,0.47,0.163,3.518,0.072,27.64,-8.167,1.0,3.359,1.074,8.934,7
6.487,0.44,0.171,4.902,0.069,6.849,40.956,0.997,3.362,0.623,8.426,6
6.78,0.559,0.245,2.712,0.098,10.347,10.095,0.995,3.353,0.393,9.655,5
11.287,0.669,0.526,2.539,0.095,6.471,27.074,0.997,3.493,0.362,10.216,5
8.855,0.662,0.485,1.946,0.037,10.791,92.26,0.997,3.419,0.739,9.66,6
7.897,0.277,0.219,2.184,0.099,16.43,29.313,0.998,3.045,0.765,11.025,5
11.411,0.386,0.109,-0.168,0.123,-1.574,30.675,0.995,3.257,0.436,10.69,6
8.865,0.176,0.09,-0.791,0.118,7.448,-18.835,0.996,3.219,0.757,9.879,5
6.096,0.616,0.233,1.317,0.069,21.95,38.747,0.997,3.202,0.255,10.2,6
4.987,0.627,0.613,4.293,0.132,-2.381,101.566,0.995,3.035,0.727,7.831,5
9.644,0.402,0.178,4.343,0.115,14.646,18.398,0.996,3.247,0.422,11.071,6
6.961,0.481,0.575,3.727,0.062,2.62,56.709,0.997,3.072,0.469,11.206,5
8.071,0.438,0.251,4.484,0.19,-5.904,25.712,0.996,3.373,0.784,10.096,6
5.995,0.378,0.611,1.333,0.131,-2.177,71.585,0.996,3.282,0.626,11.528,6
6.908,0.43,0.251,1.063,0.164,5.873,56.036,0.993,3.352,0.576,10.531,6
8.022,0.849,0.099,3.982,0.118,-6.643,96.281,0.997,3.375,0.517,11.561,7
10.634,0.589,0.11,3.166,0.078,23.418,-17.218,0.997,3.288,0.822,8.298,5
8.432,0.249,0.092,1.895,0.21,1.621,66.066,0.996,3.189,0.63,9.966,7
7.784,0.251,0.226,2.745,0.111,15.129,75.622,0.992,3.453,0.634,7.859,6
8.845,0.32,0.143,2.362,0.16,21.962,65.689,0.999,3.238,0.432,12.694,4
7.811,0.614,0.309,4.242,0.102,28.778,0.143,0.997,3.491,0.852,10.904,6
5.42,0.699,0.118,3.964,0.054,-0.1,57.595,0.999,3.17,0.637,11.502,6
4.276,0.477,0.166,2.446,0.067,16.024,92.623,0.999,3.226,0.694,10.464,6
12.079,0.602,0.468,2.409,0.11,26.132,-44.783,0.995,3.353,0.342,9.343,6
6.651,0.61,0.33,1.71,0.071,18.426,89.662,0.998,3.474,0.819,11.227,7
9.859,1.041,0.078,3.103,0.058,3.288,25.775,0.999,3.575,0.588,10.778,5
9.136,0.437,0.154,4.481,0.169,10.963,51.321,0.996,3.428,0.618,10.661,5
8.679,0.681,0.463,3.898,0.049,4.566,38.559,0.996,3.411,1.023,9.213,5
6.125,0.202,0.144,1.704,0.085,18.569,25.688,0.993,3.727,0.628,10.574,6
7.099,0.622,0.395,4.747,-0.027,14.522,70.494,0.998,3.21,0.672,9.963,6
10.88,0.346,0.35,3.57,0.099,6.908,88.99,0.996,3.396,0.327,11.112,5
8.912,0.442,0.057,3.421,0.078,9.027,72.369,0.995,3.117,0.472,12.155,8
10.7,0.388,0.619,1.804,0.07,20.078,54.692,1.0,3.239,0.626,10.958,6
8.055,0.552,0.092,2.882,0.2,27.03,87.505,0.997,3.196,0.339,12.796,5
9.797,0.384,0.466,2.375,0.065,-2.427,117.883,1.0,3.302,0.809,10.475,6
5.934,0.522,0.796,2.521,0.087,14.635,36.607,0.997,3.467,0.964,9.567,6
7.765,0.45,0.248,5.282,0.147,16.717,12.938,0.998,3.154,0.7,9.345,6
6.653,0.641,-0.02,3.89,0.154,14.957,79.894,0.997,3.253,0.432,10.036,6
4.576,0.649,-0.016,4.39,0.088,14.483,77.485,0.996,3.438,0.581,12.13,5
9.712,0.384,0.365,2.504,0.016,-4.627,59.486,0.999,3.27,0.675,9.632,7
7.692,0.426,0.091,-0.436,0.043,18.103,82.676,0.995,3.354,1.04,12.402,6
6.618,0.511,0.309,2.739,0.026,25.207,74.513,0.999,3.212,0.907,9.257,6
5.952,0.538,0.429,2.411,0.124,31.85,112.747,0.998,3.419,0.629,11.88,6
12.196,0.758,0.605,1.238,0.098,34.566,6.915,0.994,3.294,0.528,10.163,6
5.326,0.521,0.244,5.791,0.057,6.907,59.742,0.997,3.033,0.463,10.479,6
10.815,0.527,0.308,3.43,0.125,8.398,97.249,0.996,3.266,0.643,10.473,5
9.123,0.575,0.207,1.692,0.076,31.213,76.631,0.997,3.453,0.702,8.612,6
8.285,0.79,0.282,1.15,0.116,-5.576,53.398,0.997,3.355,0.787,9.684,5
8.494,0.761,0.288,1.876,0.128,19.431,52.017,0.994,2.92,0.891,9.954,5
4.915,0.345,0.604,4.365,0.072,8.234,56.384,0.999,3.304,0.651,8.821,6
7.477,0.471,0.086,1.571,0.092,27.735,46.756,0.996,3.157,0.587,11.374,5
7.8,0.91,0.18,2.611,0.129,34.7,66.132,0.994,3.477,0.754,10.747,5
9.265,0.827,-0.089,1.121,0.04,10.066,8.281,0.998,3.487,0.6,11.663,5
5.931,0.6,0.289,0.833,-0.017,25.769,30.22,0.997,3.591,0.464,10.167,5
6.837,0.652,0.409,0.75,0.027,27.435,37.604,1.0,3.238,0.382,9.593,7
7.015,0.493,0.134,1.151,0.054,-7.848,48.848,0.997,3.477,0.537,11.174,5
6.364,0.555,0.415,4.956,0.039,24.82,31.545,0.996,3.164,0.891,9.872,5
6.523,0.534,0.352,4.086,0.094,-2.304,90.728,0.997,3.219,0.848,11.607,5
9.633,0.574,0.124,3.459,0.085,21.725,19.301,0.997,3.482,0.462,11.841,5
6.186,0.499,0.577,3.621,0.029,9.291,4.442,1.001,3.404,0.881,10.777,6
6.343,0.736,0.133,1.015,0.125,21.944,103.363,0.999,3.262,0.544,11.162,5
4.468,0.675,0.222,3.146,0.054,-1.93,56.29,0.995,3.194,0.44,11.511,6
9.558,0.481,0.425,1.351,0.054,25.35,28.241,0.994,3.165,0.92,10.681,5
8.188,0.857,-0.03,1.96,0.057,25.752,50.046,0.997,3.385,0.6,10.263,5
7.155,0.591,0.248,3.306,0.09,1.844,81.972,0.994,3.145,0.406,9.228,5
7.146,0.37,0.124,0.358,0.138,4.481,60.593,0.995,2.951,0.774,9.916,5
6.335,0.55,0.41,1.051,0.128,15.39,51.114,0.998,3.451,0.891,11.957,7
4.184,0.425,0.299,4.403,0.033,15.611,40.337,0.994,3.196,0.638,10.222,5
7.905,0.535,0.158,3.773,0.09,21.186,38.265,0.997,3.268,0.72,9.254,5
11.687,0.777,0.238,1.081,0.135,15.607,4.363,0.998,3.177,0.619,9.496,6
9.055,0.399,0.371,2.612,0.11,18.41,33.339,0.996,3.127,0.951,10.538,6
8.553,0.56,0.67,1.993,0.007,29.776,97.083,0.996,3.243,0.522,9.349,7
9.379,0.437,0.278,3.634,0.131,20.73,66.353,0.995,3.283,0.823,11.204,6
9.101,0.431,0.519,1.306,0.142,31.293,65.342,0.992,3.191,0.654,9.717,6
8.758,0.483,0.08,1.493,0.16,11.032,-12.57,0.995,2.938,0.526,9.371,6
6.88,0.659,0.316,2.401,0.081,15.068,103.199,0.995,3.214,0.754,9.738,5
8.464,0.373,0.228,2.27,0.122,26.929,9.972,0.995,3.335,0.833,10.823,5
4.732,0.322,0.357,3.129,0.108,6.189,40.778,0.994,3.073,0.74,11.542,6
5.202,0.589,0.373,-0.356,0.149,4.998,8.63,0.998,3.273,0.781,10.089,5
8.8,0.239,0.221,1.989,0.149,7.717,47.646,0.999,3.267,0.372,11.377,6
7.686,0.723,0.432,3.907,0.13,8.437,46.785,0.997,3.384,0.774,12.35,7
6.276,0.592,0.342,0.735,-0.011,14.393,80.946,0.994,3.22,0.575,10.986,7
9.085,0.509,0.283,3.206,0.144,12.072,-13.604,0.995,3.361,0.585,8.996,6
7.243,0.511,0.207,3.045,0.068,8.511,70.925,0.998,3.439,0.543,10.352,5
9.12,0.315,0.273,2.168,0.155,37.25,41.89,0.996,3.465,0.664,12.039,5
5.581,0.25,0.094,3.885,0.108,-7.041,86.113,0.996,3.246,0.186,10.764,6
7.58,0.569,0.34,3.331,0.081,15.908,-0.53,0.996,3.323,0.522,11.158,7
9.36,0.658,0.328,3.299,0.084,22.424,55.666,0.996,3.219,0.592,8.438,6
7.983,0.244,0.193,3.105,0.021,7.249,48.457,0.995,3.267,0.694,12.579,7
8.516,0.517,0.331,2.742,0.028,11.61,60.151,0.998,3.311,0.741,10.672,6
7.305,0.665,0.235,1.863,0.106,10.577,34.65,0.998,3.27,0.647,9.763,6
8.614,0.682,0.133,1.191,-0.042,10.541,42.873,0.997,3.166,0.879,11.557,7
8.989,0.405,0.13,-0.138,0.162,13.859,24.224,0.997,3.313,0.719,10.695,7
9.885,0.512,0.441,3.254,0.123,27.778,78.488,0.998,3.374,0.637,9.319,7
8.131,0.379,0.266,2.298,0.081,16.034,28.398,0.996,3.344,0.955,10.253,5
7.47,0.403,0.448,2.768,0.067,11.019,114.425,0.997,3.245,0.702,10.409,5
10.944,0.556,0.551,4.052,0.03,14.035,48.638,0.996,3.454,0.679,8.927,6
9.657,0.28,0.257,4.139,0.101,0.659,14.773,0.995,3.373,0.805,8.124,5
8.9,0.391,0.17,5.025,0.039,-12.224,71.5,0.998,3.335,0.834,10.463,5
6.008,0.337,0.106,1.223,-0.015,10.66,21.993,0.997,3.196,0.76,9.675,6
8.358,0.366,0.25,1.538,0.091,20.082,73.79,1.001,3.224,0.882,8.955,5
6.421,0.339,0.265,3.314,0.1,15.241,64.17,0.994,3.488,0.612,11.085,5
6.095,0.824,0.261,2.907,0.007,14.369,32.297,0.99,3.285,0.565,12.547,6
9.767,0.469,0.293,2.639,0.146,4.102,40.498,0.998,3.268,0.675,10.219,5
5.434,0.514,0.689,1.958,0.078,20.585,18.013,0.996,3.302,0.621,10.739,7
10.867,0.63,0.104,0.052,0.13,10.537,-28.405,0.995,3.266,0.384,9.764,5
9.527,0.607,0.293,3.837,0.052,27.818,55.718,0.999,3.344,0.564,10.325,5
10.899,0.307,0.077,4.012,0.046,15.39,49.857,0.996,3.22,0.705,9.666,5
9.074,0.66,0.342,3.43,0.096,15.363,63.802,0.998,3.305,0.451,10.399,6
8.146,0.391,0.077,3.716,0.082,0.521,43.218,0.994,3.459,0.886,10.512,6
8.998,0.746,0.049,2.837,0.125,41.415,30.39,1.001,3.226,0.778,10.632,6
9.187,0.635,0.435,4.661,0.058,25.065,44.245,0.999,3.26,0.553,8.832,5
6.71,0.629,0.134,1.352,0.057,21.407,-30.359,0.993,3.365,0.762,10.851,5
7.256,0.827,0.42,0.492,0.071,-3.434,-16.446,0.997,3.01,0.869,8.505,7
6.03,0.871,0.137,1.742,0.013,16.079,18.458,0.995,3.133,0.853,11.714,5
7.727,0.409,0.432,3.612,0.009,1.053,31.229,0.993,3.126,0.813,10.388,6
5.277,0.438,0.593,4.52,0.105,19.055,60.759,0.998,3.154,0.782,10.619,5
8.453,0.266,0.052,2.482,0.182,23.479,59.639,0.996,3.366,0.771,11.284,5
9.401,0.733,0.617,0.802,0.068,28.722,76.07,0.995,3.213,0.785,11.092,6
8.006,0.446,0.188,2.548,0.013,7.378,118.154,0.996,3.276,0.372,8.517,5
5.414,0.719,0.268,0.829,0.036,39.406,43.889,0.996,3.231,0.446,11.703,5
10.614,0.686,0.114,0.274,0.114,34.958,16.238,0.999,3.628,0.985,9.753,5
7.962,0.515,-0.047,1.905,0.017,22.789,76.197,0.998,3.366,0.752,8.63,5
9.84,0.451,0.2,1.254,0.071,10.724,16.458,0.995,3.188,0.49,10.663,5
9.073,0.829,0.22,2.963,0.132,13.637,79.956,0.999,3.613,0.698,11.331,5
7.994,0.299,0.243,1.758,0.182,4.671,29.722,0.997,3.544,0.849,10.682,6
7.592,0.527,0.636,2.59,0.056,-4.341,31.701,0.997,3.386,0.775,11.065,6
7.344,0.679,0.323,4.121,-0.011,19.3,127.2,0.995,3.332,0.851,12.907,6
8.875,0.807,0.172,3.587,0.091,3.206,54.723,0.999,3.207,0.709,9.821,6
12.775,0.662,0.219,2.887,0.155,23.238,43.109,0.995,3.479,1.169,12.035,6
6.581,0.623,0.325,0.54,0.051,28.662,41.492,0.996,3.207,0.791,12.499,6
8.963,0.487,0.48,2.49,0.079,20.853,6.038,0.999,2.898,0.501,9.644,4
11.251,0.819,0.091,1.126,0.168,7.75,4.656,0.997,3.297,0.445,11.771,6
8.63,0.622,0.535,2.629,0.085,10.544,6.42,0.999,3.328,0.789,9.552,5
7.408,0.445,0.257,3.981,0.121,30.32,-11.758,0.994,3.466,0.841,11.749,6
5.136,0.672,0.374,1.14,0.098,32.356,37.419,0.995,3.589,0.552,10.744,5
9.366,0.883,0.487,1.424,0.075,17.194,108.432,0.999,3.523,0.632,12.3,6
8.753,0.554,0.213,3.303,0.064,40.389,-7.476,0.994,3.618,0.804,9.059,5
9.728,0.371,0.307,3.66,0.189,16.452,-9.852,1.0,3.117,0.93,8.645,6
7.073,0.783,0.477,2.623,0.063,13.594,32.885,0.993,3.266,0.729,10.024,7
11.151,0.492,0.448,2.009,0.135,33.356,35.869,0.997,3.331,0.839,9.839,7
12.387,0.725,0.409,1.828,0.096,23.385,31.534,0.995,3.435,0.619,10.77,5
8.399,0.804,0.284,2.109,0.063,21.62,29.995,0.998,3.286,0.611,8.993,6
9.545,0.514,0.097,1.579,0.151,19.964,33.464,0.995,3.292,0.515,9.499,6
9.369,0.472,0.197,1.805,0.11,14.782,-26.533,0.998,3.181,0.622,12.039,7
8.356,0.541,0.203,0.296,0.024,19.817,30.723,0.997,3.328,0.776,8.278,6
7.479,0.58,0.24,1.675,0.119,22.72,70.291,0.995,3.42,0.827,10.966,5
9.575,0.627,0.263,2.714,0.058,-4.081,41.469,0.995,3.366,0.649,9.473,5
8.593,0.694,0.379,0.765,0.089,3.887,18.807,0.997,3.302,0.526,11.086,6
10.413,0.573,0.505,4.416,0.038,14.371,62.396,0.998,3.234,0.57,9.637,5
11.016,0.577,0.064,5.067,0.085,10.267,110.456,1.003,3.128,0.529,12.163,7
7.065,0.491,0.017,4.45,0.051,-1.163,57.002,0.999,3.394,0.85,11.065,7
6.99,0.448,0.236,3.615,0.063,14.323,37.578,0.998,3.202,0.772,11.057,5
7.531,0.201,0.42,2.348,-0.036,-0.588,53.779,0.994,3.147,0.609,10.269,6
6.884,0.44,0.197,3.639,0.027,13.318,122.173,0.999,3.548,0.836,11.06,5
8.848,0.72,0.36,4.962,0.101,2.222,80.949,0.996,3.369,0.639,9.909,6
10.07,0.705,0.472,2.323,0.079,5.46,11.178,0.996,3.266,0.658,10.448,5
11.221,0.42,0.508,2.949,0.061,29.58,56.993,1.002,3.693,0.645,10.111,5
9.564,0.338,0.538,1.686,0.111,31.182,45.577,0.998,3.316,0.321,11.604,6
7.556,0.635,0.013,1.905,0.069,19.468,66.417,0.997,3.322,0.837,11.589,5
11.433,0.561,0.171,2.78,0.118,16.673,58.414,0.994,3.427,0.5,11.671,5
7.259,0.453,0.553,1.354,0.058,33.951,23.48,0.998,3.522,0.594,10.735,4
9.843,0.441,0.175,4.107,0.059,5.797,46.137,1.0,3.297,0.751,10.635,6
10.144,0.746,0.591,2.501,0.085,31.091,-12.735,0.998,3.402,0.527,9.562,7
9.376,0.194,0.243,2.494,0.175,-6.95,34.411,0.996,3.328,0.597,10.261,6
9.469,0.432,0.52,1.219,-0.009,21.372,105.539,0.998,3.056,0.467,9.505,6
6.972,0.672,0.329,3.231,0.074,6.664,19.782,0.998,3.185,0.69,11.249,4
10.541,0.607,0.31,2.886,0.051,4.277,51.971,0.998,3.26,0.956,10.621,5
9.793,0.819,0.307,3.758,0.066,9.54,25.007,0.996,3.436,0.845,10.055,5
8.721,0.87,0.446,3.759,0.108,17.343,64.219,0.997,3.124,0.429,9.472,7
10.985,0.612,-0.032,2.863,0.132,2.568,73.488,0.996,3.457,0.822,9.661,7
9.95,0.522,-0.074,3.413,0.08,23.054,49.473,0.998,3.334,0.41,8.921,6
11.195,0.563,0.414,0.429,0.136,8.603,24.816,0.996,3.356,0.551,12.407,6
7.194,0.412,0.468,3.403,0.102,8.707,48.262,0.997,3.232,0.702,11.155,7
6.601,0.013,0.366,1.169,0.13,17.351,80.044,0.998,3.298,0.747,10.005,5
6.087,0.6,0.283,0.414,0.166,11.797,42.923,0.999,3.609,0.771,10.841,7
7.098,0.621,0.597,1.91,0.025,19.239,75.734,0.999,3.446,0.72,10.416,6
9.142,0.597,0.162,2.122,0.101,4.27,72.521,0.995,3.325,0.528,10.304,7
7.296,0.554,0.294,2.745,0.138,28.974,4.606,0.996,3.336,0.466,10.725,4
6.226,0.553,0.398,3.237,0.016,17.862,37.116,0.999,3.362,0.512,11.427,5
5.602,0.269,0.232,5.156,0.074,9.43,28.662,0.995,3.297,0.579,11.274,5
7.425,0.214,0.6,1.978,0.028,-7.747,78.228,0.997,3.339,0.813,10.547,5
9.541,0.535,0.47,0.469,0.093,-1.184,52.378,0.999,3.233,0.51,10.483,5
9.485,0.391,0.555,2.059,0.137,41.261,56.824,0.996,3.36,0.745,9.608,5
9.547,0.336,0.038,4.024,0.174,9.111,35.647,0.996,3.269,0.747,11.246,6
7.61,0.688,0.342,3.309,0.057,14.187,89.184,0.999,3.272,0.447,12.526,6
10.733,0.413,0.031,2.54,0.011,9.621,-66.683,0.996,3.258,0.79,10.963,6
8.062,0.397,0.142,3.2,0.118,16.005,59.078,0.996,3.227,0.771,11.126,3
8.038,0.742,0.106,1.937,0.068,7.059,8.311,1.0,3.475,0.883,10.747,6
8.06,0.279,0.17,3.025,0.118,15.658,33.347,0.995,3.322,0.418,11.105,5
8.458,0.652,0.068,1.949,0.052,8.37,67.533,0.995,3.267,0.554,11.395,7
9.213,0.318,0.496,1.37,0.186,11.577,60.101,0.995,3.351,0.512,9.935,5
10.709,0.625,-0.012,4.304,0.15,18.09,53.523,0.998,3.336,1.015,8.164,7
10.633,0.627,0.05,5.555,0.108,20.974,48.048,0.995,3.608,0.369,9.036,7
6.408,0.656,0.115,2.858,0.094,16.092,69.33,0.997,3.604,0.427,10.312,5
5.567,0.568,0.176,2.617,0.099,-1.577,42.465,0.991,3.489,0.736,11.512,5
10.098,0.601,0.523,1.41,0.11,21.556,49.253,0.996,3.167,0.882,9.355,6
9.043,0.469,0.275,4.817,0.081,33.504,80.899,0.997,3.138,0.356,11.254,5
6.725,0.417,0.279,2.015,0.018,11.703,78.135,0.999,3.296,0.78,10.827,4
7.429,-0.137,0.221,2.507,0.102,15.527,89.327,0.998,3.285,0.621,11.613,6
10.698,0.735,0.325,2.296,0.132,7.361,39.566,0.998,3.242,0.797,10.914,7
9.87,0.692,-0.066,3.953,0.096,23.776,17.222,0.997,3.443,0.972,8.417,6
6.501,0.676,0.011,2.051,0.083,10.547,-5.589,0.997,3.269,0.471,12.204,5
